Class,Avg Hours Studied,Avg Grade
BIPN102,6.32,2.71
IPN105,13.15,N/A
BIPN105,13.04,N/A
BIPN105,14.06,3.02
BIPN105,13.41,2.85
BIPN105,11.94,2.67
BIPN105,13.57,2.98
BIPN105,13.57,3.14
BIPN105,16.35,2.82
BIPN105,14.5,3.09
BIPN105,14.0,3.03
BIPN105,10.76,3.14
BIPN105,13.38,2.96
BIPN105,11.58,3.16
BIPN105,12.76,2.89
BIPN105,12.21,3.07
BIPN105,13.4,3.00
BIPN105,14.11,3.20
BIPN105,12.33,2.98
BIPN105,13.21,2.98
BIPN105,12.88,3.09
BIPN105,12.0,3.09
BIPN105,11.75,2.95
BIPN105,10.5,2.95
BIPN105,11.9,2.94
BIPN105,11.36,3.11
BIPN105,13.23,3.38
BIPN105,12.45,3.19
BIPN105,12.06,3.12
BIPN105,12.19,3.17
BIPN105,12.24,3.16
BIPN105,12.22,3.21
BIPN105,13.38,2.95
BIPN105,13.04,3.10
BIPN105,11.85,3.04
BIPN105,14.07,3.10
BIPN105,12.71,3.04
BIPN105,12.58,3.07
BIPN105,12.55,3.13
BIPN105,14.34,3.05
BIPN105,12.42,3.15
BIPN105,12.5,3.02
BIPN105,15.18,3.06
BIPN105,11.47,2.98
BIPN105,14.13,3.14
BIPN105,14.4,3.14
BIPN106,5.88,3.00
BIPN106,6.13,2.72
BIPN106,5.46,2.95
BIPN106,6.8,3.00
BIPN106,6.93,2.87
BIPN106,6.24,3.10
BIPN106,5.97,3.15
BIPN106,5.81,3.20
BIPN106,5.51,3.05
BIPN106,4.36,3.28
BIPN106,5.27,3.01
BIPN144,6.18,3.23
BIPN144,5.51,3.08
BIPN144,5.77,3.15
BIPN144,5.21,3.41
BIPN144,5.85,3.11
BIPN144,7.22,2.98
BIPN144,4.62,3.24
BIPN144,4.57,2.93
BIPN144,5.99,2.89
BIPN144,5.99,2.89
BIPN144,4.35,3.58
BIPN144,6.44,3.43
BIPN144,6.44,3.43
