State,County,FFRPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15,FMRKTPTH16
CA,Monterey,0.584220483,32.87138875,2.72251763,7.6,22.3,60047,15.3,0.027571502
CA,Napa,0.557645747,56.39269072,1.787755341,8.4,23.7,72683,10.1,0.042204184
CA,Nevada,0.626940228,86.54671743,0.345267506,7.7,21.1,57627,12.4,0.100901046
CA,Orange,0.886977172,44.13277781,1.461681359,8,19.7,78002,12.7,0.007564936
CA,Placer,0.836709767,76.13939018,1.270549203,9,21.7,76203,8.6,0.052558136
CA,Plumas,0.537461034,85.04523417,0.904683361,9.8,23,46813,13.8,0.05368551
CA,Riverside,0.612208713,39.68997658,5.974632371,9,26,57895,16.2,0.010051341
CA,Sacramento,0.680824763,48.43331068,9.863982498,8.4,27.4,58735,16.9,0.017167835
CA,San Benito,0.463384077,38.27462049,0.642313051,7.6,23.3,76521,9.3,0.01683105
CA,San Bernardino,0.678778332,33.2937633,8.387340864,9.2,27.9,53526,18.9,0.010279913
CA,San Diego,0.806513145,48.46188415,4.736193076,7.7,19.1,67053,13.9,0.014166231
CA,San Francisco,1.083910383,41.90714512,5.809608375,7.9,16.1,90527,12.4,0.032151129
CA,San Joaquin,0.617666089,35.88455376,7.082967317,10.3,28.3,53341,17.5,0.020444073
CA,San Luis Obispo,0.795462282,71.09410059,1.901816145,8.5,24.5,61761,14.4,0.074234588
CA,San Mateo,0.727674434,42.25883185,2.61159077,8.3,21.1,101133,8.4,0.03007334
CA,Santa Barbara,0.739785961,47.91799856,1.708441949,7.1,18.2,63049,15.6,0.029136876
CA,Santa Clara,0.756886,35.18714759,2.375954316,8.4,19.5,102191,8.3,0.020318828
CA,Santa Cruz,0.654883666,59.60660411,0.878109017,7,20.2,64841,15.4,0.036406928
CA,Shasta,0.695201442,82.40691107,0.811407097,9.4,26.5,45943,19,0.07793755
CA,Sierra,0.333000333,88.11728395,0.154320988,9.6,22.5,47535,13.8,0
CA,Siskiyou,0.641789676,79.47216036,1.229398664,8.6,23.2,37447,22.6,0.160539412
CA,Solano,0.649454574,40.79604397,14.21164938,9.8,30.1,67202,12,0.011358293
CA,Sonoma,0.589655641,66.13795213,1.398906336,7.9,20.9,66463,11,0.045719284
CA,Stanislaus,0.633462219,46.73371523,2.539590594,9.7,32.6,51949,19.5,0.02215821
