title,year,metascore,domestic_gross
Anger Management,(2003),52,"135,645,823"
Chicken Little,(2005),48,"135,386,665"
Ride Along,(2014),41,"134,938,200"
Live Free or Die Hard,(2007),69,"134,529,403"
The Incredible Hulk,(2008),61,"134,518,390"
Wanted,(2008),64,"134,508,551"
Identity Thief,(2013),35,"134,506,920"
Mission: Impossible III,(2006),66,"134,029,801"
Grown Ups 2,(2013),19,"133,668,525"
Troy,(2004),56,"133,378,256"
Angels & Demons,(2009),48,"133,375,846"
Alvin and the Chipmunks: Chipwrecked,(2011),24,"133,110,742"
Bringing Down the House,(2003),39,"132,716,677"
The Wolverine,(2013),61,"132,556,852"
Wonder,(I) (2017),66,"132,422,809"
The Departed,(2006),85,"132,384,315"
Hulk,(2003),54,"132,177,234"
Silver Linings Playbook,(2012),81,"132,092,958"
Minority Report,(2002),80,"132,072,926"
Fantastic 4: Rise of the Silver Surfer,(2007),45,"131,921,738"
The Last Airbender,(2010),20,"131,564,731"
Rio 2,(2014),49,"131,538,435"
Lara Croft: Tomb Raider,(2001),33,"131,144,183"
Get Smart,(2008),54,"130,319,208"
Insurgent,(2015),42,"130,179,072"
The Peanuts Movie,(2015),67,"130,178,411"
Transformers: The Last Knight,(2017),27,"130,168,683"
American Gangster,(2007),76,"130,164,645"
The Ring,(2002),57,"129,128,133"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),89,"128,505,958"
Ghostbusters,(2016),60,"128,344,089"
Kingsman: The Secret Service,(2014),60,"128,261,724"
Robots,(2005),64,"128,200,012"
"Crouching Tiger, Hidden Dragon",(2000),93,"128,078,872"
Shutter Island,(2010),63,"128,012,934"
Into the Woods,(2014),69,"128,002,372"
Enchanted,(2007),75,"127,807,262"
The Curious Case of Benjamin Button,(2008),70,"127,509,326"
Central Intelligence,(2016),52,"127,440,871"
Anchorman 2: The Legend Continues,(2013),61,"127,352,707"
Sweet Home Alabama,(2002),45,"127,223,418"
Bumblebee,(2018),66,"127,195,589"
2 Fast 2 Furious,(2003),38,"127,154,901"
Super 8,(2011),72,"127,004,179"
The Legend of Tarzan,(2016),44,"126,643,061"
Bee Movie,(2007),54,"126,631,277"
Prometheus,(I) (2012),64,"126,477,084"
Safe House,(2012),52,"126,373,434"
Mr. Deeds,(2002),24,"126,293,452"
Erin Brockovich,(2000),73,"125,595,205"
Ocean's Twelve,(2004),58,"125,544,280"
Terminator Salvation,(2009),49,"125,322,469"
Charlie's Angels,(2000),52,"125,305,545"
Lone Survivor,(2013),60,"125,095,601"
Sully,(2016),74,"125,070,033"
The Vow,(2012),43,"125,014,030"
Life of Pi,(2012),79,"124,987,023"
The Fault in Our Stars,(2014),69,"124,872,350"
Cloudy with a Chance of Meatballs,(2009),66,"124,870,275"
The Devil Wears Prada,(2006),62,"124,740,460"
Something's Gotta Give,(2003),66,"124,728,738"
Traffic,(2000),86,"124,115,725"
Rango,(2011),75,"123,477,607"
Nutty Professor II: The Klumps,(2000),38,"123,309,890"
The Good Dinosaur,(2015),66,"123,087,120"
G.I. Joe: Retaliation,(2013),41,"122,523,060"
The Bourne Identity,(2002),68,"121,661,683"
Superbad,(2007),76,"121,463,226"
50 First Dates,(2004),48,"120,908,074"
Mamma Mia! Here We Go Again,(2018),60,"120,634,935"
Inglourious Basterds,(2009),69,"120,540,719"
Seabiscuit,(2003),72,"120,277,854"
Van Helsing,(2004),35,"120,177,084"
Four Christmases,(2008),41,"120,146,040"
I Now Pronounce You Chuck & Larry,(2007),37,"120,059,556"
Cloudy with a Chance of Meatballs 2,(2013),59,"119,793,567"
Walk the Line,(2005),72,"119,519,402"
G-Force,(2009),41,"119,436,770"
The Other Guys,(2010),64,"119,219,978"
The Sum of All Fears,(2002),45,"118,907,036"
Hairspray,(2007),81,"118,871,849"
The Break-Up,(2006),45,"118,703,275"
Lemony Snicket's A Series of Unfortunate Events,(2004),62,"118,627,117"
Blades of Glory,(2007),64,"118,594,548"
Salt,(2010),65,"118,311,368"
Now You See Me,(I) (2013),50,"117,723,989"
Big Momma's House,(2000),33,"117,559,438"
Horrible Bosses,(2011),57,"117,538,559"
The Nun,(2018),46,"117,443,149"
Ocean's Thirteen,(2007),62,"117,154,724"
S.W.A.T.,(2003),45,"116,934,650"
The Wolf of Wall Street,(2013),75,"116,900,694"
8 Mile,(2002),77,"116,724,075"
Lee Daniels' The Butler,(I) (2013),66,"116,632,095"
Green Lantern,(2011),39,"116,601,172"
Ghost Rider,(2007),35,"115,802,596"
Creed II,(2018),66,"115,715,889"
Remember the Titans,(2000),48,"115,654,751"
District 9,(2009),81,"115,646,235"
Unbroken,(I) (2014),59,"115,637,895"
Peter Rabbit,(2018),51,"115,253,424"
Girls Trip,(2017),71,"115,108,515"
Fifty Shades Darker,(2017),33,"114,376,885"
Dodgeball: A True Underdog Story,(2004),55,"114,326,736"
The Village,(2004),44,"114,197,520"
Bolt,(2008),67,"114,053,579"
Dumbo,(2019),51,"113,825,305"
Night at the Museum: Secret of the Tomb,(2014),47,"113,746,621"
Magic Mike,(2012),72,"113,721,571"
The Patriot,(2000),63,"113,330,342"
Bad Moms,(2016),60,"113,257,297"
The Bourne Legacy,(2012),61,"113,203,870"
The Pacifier,(2005),30,"113,086,868"
Dr. Dolittle 2,(2001),49,"112,952,899"
It's Complicated,(2009),57,"112,735,375"
Spy Kids,(2001),71,"112,719,001"
The Hangover Part III,(2013),30,"112,200,072"
Spy Kids 3-D: Game Over,(2003),57,"111,761,982"
Mr. Peabody & Sherman,(2014),59,"111,506,430"
The Last Samurai,(2003),55,"111,110,575"
Glass,(2019),43,"111,035,005"
Spy,(2015),75,"110,825,712"
Tropic Thunder,(2008),71,"110,515,313"
Valentine's Day,(I) (2010),34,"110,485,654"
