Area Name,"Population figures
 (mid-2017)3  rounded to 100","Household figures
 (mid-2017)4  rounded to 100 ",,Total recorded crime (excluding fraud5),,Violence against the person,Homicide,Violence with injury,Violence without injury,"Stalking
and harassment",Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,"Residential burglary6,7,8","Residential burglary (households) 6,7,9","Non-residential burglary7,8",Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
Kent," 1,832,300 "," 757,400 ",, 107.6 ,, 42.3 , 0.0 , 11.2 , 19.6 , 11.4 , 0.0 , 3.9 , 1.0 , 31.3 , 6.5 , 4.7 , 11.3 , 1.8 , 7.1 , 0.6 , 1.0 , 6.9 , 9.3 , 12.2 , 1.7 , 0.7 , 11.5 , 2.9 
Surrey," 1,185,300 "," 471,900 ",, 63.1 ,, 19.0 , 0.0 , 6.1 , 8.8 , 4.2 , 0.0 , 2.0 , 0.4 , 23.1 , 5.0 , 3.7 , 9.4 , 1.2 , 5.3 , 0.5 , 1.0 , 3.7 , 7.7 , 8.0 , 2.4 , 0.5 , 6.3 , 1.3 
Sussex," 1,692,800 "," 735,700 ",, 67.4 ,, 22.3 , 0.0 , 8.1 , 10.0 , 4.2 , 0.0 , 2.5 , 0.6 , 23.5 , 4.2 , 2.6 , 6.1 , 1.6 , 4.9 , 0.9 , 1.3 , 4.7 , 7.4 , 8.1 , 2.1 , 0.9 , 6.0 , 1.3 
Thames Valley," 2,391,700 "," 945,100 ",, 67.8 ,, 19.4 , 0.0 , 6.6 , 9.3 , 3.5 , 0.0 , 2.3 , 0.7 , 30.5 , 5.1 , 3.5 , 8.9 , 1.6 , 7.1 , 1.2 , 2.3 , 6.0 , 8.7 , 8.0 , 2.1 , 0.6 , 2.9 , 1.4 
Avon and Somerset," 1,695,000 "," 716,600 ",, 80.2 ,, 25.0 , 0.0 , 7.6 , 10.5 , 7.0 , 0.0 , 2.5 , 0.9 , 29.2 , 5.9 , 4.0 , 9.5 , 1.9 , 6.3 , 0.7 , 2.0 , 6.3 , 8.0 , 9.1 , 1.7 , 0.5 , 10.3 , 1.0 
Devon and Cornwall," 1,749,100 "," 753,200 ",, 61.0 ,, 23.4 , 0.0 , 9.0 , 8.6 , 5.8 , 0.0 , 2.6 , 0.3 , 18.2 , 3.3 , 1.5 , 3.4 , 1.8 , 3.3 , 0.5 , 0.5 , 4.4 , 6.1 , 8.3 , 2.3 , 0.5 , 4.1 , 1.3 
Dorset," 770,700 "," 338,900 ",, 68.9 ,, 23.3 , 0.0 , 8.0 , 9.9 , 5.3 , 0.0 , 2.5 , 0.5 , 26.5 , 5.5 , 3.1 , 7.1 , 2.4 , 4.9 , 0.6 , 1.8 , 5.2 , 8.3 , 8.9 , 2.1 , 0.4 , 3.9 , 0.9 
Gloucestershire," 628,100 "," 267,200 ",, 56.2 ,, 15.0 , 0.0 , 8.2 , 3.6 , 3.2 , 0.0 , 1.7 , 0.6 , 26.9 , 6.7 , 4.8 , 11.3 , 1.9 , 6.5 , 0.6 , 1.6 , 5.4 , 6.2 , 7.1 , 1.5 , 0.4 , 2.2 , 0.7 
Wiltshire," 716,400 "," 299,600 ",, 59.3 ,, 19.4 , 0.0 , 8.0 , 8.2 , 3.3 , 0.0 , 2.3 , 0.5 , 22.4 , 4.5 , 2.9 , 6.9 , 1.6 , 4.0 , 0.5 , 1.2 , 6.0 , 6.3 , 8.0 , 1.5 , 0.4 , 3.8 , 1.0 
Dyfed-Powys," 516,800 "," 226,800 ",, 51.7 ,, 18.9 , 0.0 , 5.9 , 7.8 , 5.3 , -   , 1.8 , 0.1 , 14.9 , 2.9 , 1.9 , 4.4 , 1.0 , 1.7 , 0.2 , 0.3 , 3.8 , 6.0 , 7.8 , 3.5 , 0.3 , 3.2 , 1.1 
Gwent," 587,700 "," 251,100 ",, 96.1 ,, 32.3 , 0.0 , 9.8 , 12.1 , 10.3 , 0.0 , 2.5 , 0.5 , 27.4 , 6.2 , 4.3 , 10.0 , 1.9 , 5.7 , 0.6 , 0.6 , 6.2 , 8.1 , 15.5 , 2.4 , 0.4 , 13.0 , 2.3 
North Wales," 696,300 "," 303,300 ",, 83.6 ,, 33.4 , 0.0 , 10.2 , 14.4 , 8.8 , 0.0 , 4.4 , 0.3 , 23.1 , 5.4 , 3.7 , 8.5 , 1.7 , 3.2 , 0.3 , 0.8 , 6.0 , 7.4 , 10.9 , 1.9 , 0.5 , 7.2 , 1.8 
South Wales," 1,324,400 "," 568,800 ",, 82.1 ,, 26.8 , 0.0 , 9.2 , 8.7 , 8.9 , 0.0 , 2.5 , 0.4 , 29.1 , 5.2 , 3.6 , 8.3 , 1.7 , 5.9 , 0.8 , 1.5 , 7.9 , 7.7 , 9.7 , 3.2 , 0.5 , 8.5 , 1.6 
